name,Tc
Nb0.5Mo0.5C1,13.1
La1.73Sr0.27Cu0.94Co0.06O4,34
B6Ho0.01Y0.99,
La1.81Sr0.19Cu0.94Co0.06O4,31.8
Hf1V2H0.5,7.33
Mg1B1.8C0.2,19.7
Ge1P1,4.2
M1Ta1S2,3.25
Lu1Re2,1.7
Tl0.8Hg0.2Sr2Ba2Cu2Co3Oz,70
Al1La1,
Tl2Ba2Ca2Cu3O9.841,110
Al2Mg2,0.84
Bi1.6Pb0.4Sr2Cu3Ca2O10.04,45
Pd0.08Ti1Se2,
Yo975Yb0.025Ba2Cu3OZ,92
Au1Ga1,1.2
Y0.14Tm0.85Ba2Cu3O7,91
Pb1Tl2,4.1
La1.869Ba0.131Cu0.99Ni0.01O4,7
Y1Ba1Sr1Cu2.9Sn0.1O7,69.1
Bi2Sr2Ca1Cu2OZ,74
Tl0.5Pb0.5Sr4Cu2C7.75O23.25,63
Th0.9985U0.0015,0.9
La1Pd1Sb2,2.7
Ba0.4K0.6Fe2As2,35.2
Nb1Ru3,15
Y1Ba2Cu3O7-z,91.95
Tb1Os4P12,
Nb0.51Mo0.49C1,12.22
Pb1Sr2Y0.62Ca0.38Cu3O8,71
La1Bi1S2F0.5O0.5,3.1
Gd1Ba1.5Sr0.5Cu3O6.93,89
Nd1Fe0.9Rh0.1As1O1,15
Pb1.14S5.14Ta2,3.3
Ba1Fe1.85Co0.15As2,24.8
Th1.2Lu0.8C3,11.6
Sr11Ca3Cu24O41,
Mn0.1Fe0.9Se0.85,11
La1.79Sr0.21Cu0.99Ru0.01O4,22.1
Bi1.8Pb0.2Sr2Ca1Cu2O8+Z,91.9
Sr1Fe1.7Pt0.3As2,12.6
Y1Pd2Sn1,5.02
Mg1B1.6C0.4,33.3
Ir0.19Rh0.75Se2,7.49
Pu1Rh1Ga5,8.6
B1Rh2,
La1.95Ba0.05Cu1O4,
Cu0.25Tl0.75Ba2Ca2Cu3O11-Z,117
Y1Ba2Cu3OX,92
Y1Ba2Cu3O6.85,77
Ba0.6K0.4Bi1O3,27.25
La1.9Sr0.3Ca0.8Cu2O6.04,
La1Fe1As1F0.14O0.86,18
Tl1Ba0.4Sr1.6Pr1Cu2O7-z,
Pb1,7.195
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.36,75
Lu1Rh4B4,11.76
Sb1Ti3,6.5
Ru1Sr2Tb1Cu2O8,
La0.5Ho0.5Ba2Cu3OZ,87
As1Rh2,
Mo3Sn1,
Ba2Ca3Cu4F2O8,55
Pb0.5Cd0.5Sr2Tb0.78Ca0.22Cu2O7,
Pb0.95Sn0.05,7.268
Y1Ba2Cu3O7,
Bi1.4Pb0.6Sr2Ca1.9Ga0.1Cu3O7,104.4
Be22Re0.99Ru0.01,9.2
Pb1Sr0.8Ba1.2Y0.7Ca0.3Cu3O7+Z,78
H0.12Nb0.8Pd0.2,1.52
La1.8Sr0.2Cu1O4,30
Y1Ba2Cu2.9Zn0.1OX,58
Y1Ba2Cu3O7-z,91
Pr1Os4Sb12,1.86
Ge0.963Te1,0.171
Bi2Sr2Ca0.6Ho0.4Cu2OZ,
Y0.8Ba2Cu3O6.44,96
Mo0.9W0.1C1,11.7
La1Ba2Cu3OX,
Nb0.7425Zr0.0075Al0.25,17.4
Nd1Ru2,
Y1Ba2Cu3O7,92
Sr1Pd1.8Ni0.2Ge2,3.1
Ga1V3,14.5
Y1Ba2Cu3O6.92,90
Zr1Ru1P1,3.89
La1N1,1.35
Y0.8Pr0.2Ba2Cu3O6.8,56.1
Ir1Si3,
Co2Zr1,
Mo0.5Rh0.5,1.91
C1Mn1,
Na0.4H3.6Sb1.16S5.16Ta2O1.8,3.5
Y1Ba2Cu2.94Al0.06Oz,
Cu0.75Ga0.25Sr2Y1.3Ce0.7Cu2O8.6,12
As1Ni0.25Pd0.75,1.6
Bi1.6Pb0.4Sr2Ca2Cu3O9.91,104.4
Ir0.2Ru0.3Rh0.5,0.055
La1.84Sr0.16Cu0.99Co0.01O4,29
Al2Zn2Zr1,
V2Zr1,7.83
Co0.5Ni0.5Zr2,3.21
Y0.4Ba0.6Cu1OX,90
Cu0.86Ge0.14,0.025
La1.5Pb0.4Sr0.1Cu1Oz,36
Bi1Pt1,1.21
Tb2Fe3Si5,
Mg1B1.8C0.2,32
Bi1Pd1,3.7
Sn0.92In0.08Te1,1.35
Pd45.9Ni5.1Sb49,1.23
Tl1Ba1.4La0.6Cu1O5-Z,45
Bi1.9Pb0.2Sr1.8La0.1Cu1Oz,
Bi1Pb1Sr2Ca2Cu3O10,103.5
Al0.32La0.68,3.23
Y1La0.2Ba1.8Cu3O7.16,61.7
Y1Cu1O2.55,
In1Nb3,
Tc0.5W0.5,7.52
Rh0.05Zr0.95,4.8
Hg1Ba2Ca1Cu2O6.24,122
Tl0.5Pb0.5Sr2Ca2Cu3O9,112
Pb0.5Sr2Y0.95Ca0.05Cu2.5OZ,
P1W3,2.76
In0.1Tl0.9,3.27
Bi4Sr3Ca2.5Tm0.5Cu4O16+Z,91.5
Nd2Ba2Cu2Ti1.85Zn0.15O11-z,
Pb2Sr2Y0.5Ca0.5Cu3F0.5612O7.649,72
La1Sr1Cu0.5Ti0.5Oz,
B2Mg1,38
Hg1Ba2Cu1O4.16,88
La1.86Ba0.14Cu0.99Ga0.01O4,
La1.8Sr0.2Cu1O4,30.6
Hf3Si2,
Li1Fe1As1,17.3
Nb1Se2,7.02
Bi1.8Pb0.2Sr1.4La0.6Cu1OY,28.3
La1.962Sr0.038Cu1O4,
Bi0.015In0.985,3.725
Hg1Ba2Ca2Cu3O8+z,133.5
Be0.95Pt0.005,
Sb1Ti3,5.5
Ca1.867Na0.133Cu1Cl2O2,20
Y0.99Ca0.01Ba2Cu4O8,78
Ni0.02V0.98,3.29
Y2La1.4Ba2.6Cu6O14.42,
Tl1.25Sr1.99Ca0.77Cu1.99Oy,70
Ba0.76K0.24Fe2As2,26
La1.8Sr0.2Cu0.98Ni0.02O4,16.8
Mg1B1.8C0.2,13.5
Bi2Sr2Ca0.8Nd0.2Cu2Oy,82.6
La1In2.25Sn0.75,0.75
Mo6Se7Cl1,6.52
Nd1Ba2Cu3O7-Z,94.5
Li0.48M0.3Hf1N1Cl1,26
Mo0.5V0.5,0.11
Hg0.3Pb0.7Sr1La1Cu1O4+z,41
Ca1Rh2,6.4
Mg0.7Al0.3B2,7.9
La1.6Nd0.2Ba0.2Cu1O4,11
Al2C1Mo3,9
Hg1Sr0.85Y0.9Ce0.25Cu2O6+z,
Y0.6Eu0.4Ba2Cu3O7,92.6
La0.1Sm0.9Bi1S2F0.5O0.5,5.2
La1.776Nd0.074Sr0.15Cu1O4-d,
Cu3Sn1,
Ru2Th1,3.47
Cu0.7Zn0.3Ir2S4,2.8
Li1Hf0.5Zr0.5N1Cl1,21
Hg0.44Re1O3,7.7
Y1Ba2Cu2.82Fe0.18O7-Z,
La1.8Sr0.2Ca1Cu2O6,38
Mo0.28Rh0.72,0.03
Y0.6Pr0.4Ba2Cu3O7-Z,46.2
Bi2Sr2Ca1Cu2O8,85
Ru0.475V0.525,3.12
Bi2Sr2Ca0.91Gd0.09Cu2Oz,87
Mo0.8W0.2C1,12
Sm1Fe0.95Co0.05As1O1,
Y0.35Pr0.65Ba1Sr1Cu3O6.9,20.3
Cu0.65Zn0.35Ir2S4,2.8
Fe2As2Sr4Sc1.5Ti1.5O8,22
Tl1Sr1.8Ce0.2Ca1Cu2O7-z,35
Tl1Sr1.5Ce0.5Ca1Cu2O7-z,
Be22Re1,9.55
Ag2I1,0.066
In0.17Tl0.83,3.45
La1.2Ba1.8Cu3O7.8,
Sr5Ca9Cu24O41,
Dy0.6Tb0.4Ni2B2C1,
Y0.7Pr0.3Ba2Cu4O8,61
Y0.85Ca0.15Sr0.5Ba1.5Cu2.5B0.5O7,55.6
Y1Ba2Cu3O6.71,59
Sr1.6K1.4Bi2O7,
Y1Fe2Si2,2.9
Bi2Sr2Ca1Cu2O8,74
Ba0.6K0.4Bi1O2.926,27.6
Ti2.01Nb0.99Sb1,1.96
La1.85Sr0.15Cu1O4,35.2
Y1Ba2Cu2.975Co0.025Oz,91.6
La2Cu1O4.1,
Ag1La1,1.2
Mo8.75Zr91.25,5
Y1Ba1.9La0.1Cu3O7,96.1
La1.875Ba0.125Cu1O4,28.4
Y0.8Pr0.2Ba2Cu3O6.96,74.7
Y1Dy4Os4Ge10,
Lu0.9Ca0.1Ba2Cu3O6+z,18
La1.725Ba0.275Cu1O4,
Ba1Ti2Sb0.8Bi1.2O1,4.02
Pb0.63Cu0.27Sr2Y0.79Ca0.21Cu2Oz,
Y1Sr2Cu2.65Ti0.35O7.1,53
Tl2Ba2Ca1Cu2O8,87
Nd1Bi1S2F0.3O0.7,3.55
La2Cu1O4.04,
Bi2.1Sr1.93Ca0.92Er0.05Cu2O8+z,68.2
Y1Ba2Cu2W1OY,78.5
Pr1V2Al20,
La1.9Sr1.1Cu2O6+Y,
Nd1.85Ce0.15Cu1O3.971,21.6
La6.13Sr1.87Cu8O20-Y,
Bi2.1Sr1.85Cu1O6-z,5.74
Y2La0.8Ba3.2Cu6O14.2,46
La0.4Sm0.6Ca1Ba1Cu3O7-Z,64
Nb1,8.81
Pr1Pt4Ge11.5Sb0.5,4.43
Y1Ba2Cu2.97Zn0.03O6.77,67
Y1Ba2Cu3O7,85
C1Mn0.02Mo0.98,
La1Os4Sb12,0.74
La1.92Ba0.08Cu1O4,
K0.18W1O3,3.9
Nb3Os1,1.05
Ag0.845Sn0.155,0.025
Pr1Ba2Cu3O6.6,
Nb0.9Ru0.1,2.8
Ba7.61Si46,8.2
Ni2Ti1Sn1,
Ba2Bi2.75Sb0.25,4.46
Bi2Sr2Ca0.6Lu0.4Cu2O8+Z,65
Nd1Ba2Cu3O6.93,91.5
La2.3Gd0.6Ca1.2Ba2.9Cu7O16.543,80
Bi3.4V0.6Sr4Ca5Cu7Oz,82.2
H15Th4,7.6
La0.9Y0.1Co2B2,4.1
B2Mg1,39
Th0.99975U0.025,1.182
Hg1Ba2Ca2Cu3O8+d,
Nb76Sn2.4Al19.2Ge2.4,16
Au0.92Ga0.06In0.02,0.13
Fe0.5Ba2Yb1Cu2.5O7.45,72
Nd1Ba2Cu3O7,
La1.7Eu0.2Sr0.15Cu1O4,
Y1Ba2Cu3O7-Z,90
Be5Ga1,5.8
Tl2Ba2Ca2Cu3O9.877,111
Hg1.4Tl0.6Ba2Y0.5Ca0.5Cu2O7.74,84
Ca0.86Sr0.14Cu1O4,
Ga0.65Sr2Y0.7Ca0.3Cu2O7+z,23.5
Y1Ba2Cu2.9Zn0.1O6.93,23
Sn1,3.6657
Y1Ba2Cu4O8,80
Y1Sr1Ba1Cu2.5B0.5Oz,25
La1.88Sr0.12Cu1O4,27
Bi1Cu1Mg1,
Li1Fe1As1,17.4
B2Mg1,40.23
Dy1Ba2Cu2.92Ni0.08O7-z,77
Cu0.5Zn0.5Ir2S4,2.2
Ir1Ti3,4.97
Eu0.16M1Zr1N1Cl1,12.7
Pr1.85Ce0.15Cu1O4-d,22.1
Y1Sr2Cu2.9B0.1O7,
C0.4Mo0.6,9
Tl0.98Sr2.05Lu0.68Ca0.26Cu2.03Oy,69
Tl1Sr1.5Pr0.5Ca1Cu2O7,88
Sr1Fe1.92Ni0.08As2,
Hg0.75Mo0.25Sr2Gd1.5Ce0.5Cu2Oz,70
La1.9Sr0.1Cu1O4,29
La2Cu1O4,
Fe1,2
Y1Ba2Cu3O6.94,92.9
K0.3Re1O3,3.6
Gd0.65La1.2Ce0.15Cu1O4,
La1Fe1As1F0.11O0.89,27.5
Bi2Sr2Ca0.7Yb0.3Cu2O8+z,89
H0.51Mo0.1Nb0.765Pd0.135,5.46
La1.85Sr0.15Cu1O4,39.3
Pb2Sr2Y0.5Ca0.5Cu3O9.4,
Hg0.75Ba2.07Ca2.07Cu3.11O8.136,132.9
Y1Ba2Cu3O7-Y,90
Re1Zr2,
Bi2Sr2Ca2Cu2I0.86O8.21,50.6
Ta0.5V0.5,2.73
Ce1Co0.925Ni0.075In5,1.69
Sn1,4.46
Gd0.01La0.99,0.6
La1.996Ba0.004Cu1O4,
Y0.7Pr0.3Ba2Cu3O7-Z,59.1
Zr33.3V39.3Nb27.4,5.45
Pr1Ba2Cu2.9Co0.1Oz,
Ga1Nb3,16.5
Y1Ba1.99La0.01Cu3O6.96,92.1
La1Rh3B2,2.32
Gd1Ba2Cu3O7-Z,86
Sn0.97As0.025Te0.975,0.0138
La5B2C6,6.9
Cu0.5Zn0.5Ir2S4,2.2
La1.84Ba0.16Cu1O4,
Hg1Ba2Cu0.97Zn0.03O4.073,82
Bi2Sr2Ca1Cu2O8,
La1Ir2Si2,1.1
Bi2.1Sr1.85Cu1O6-z,5.46
Tl2Ba2Ca0.7Y0.3Cu1.92Co0.08O8+z,
Th1Ru3Si2,3.98
Nb3Rh0.02Pt0.98,9.6
Nb3Al0.39Ge0.61,7.3
K2Cr3As3,5.8
Pr1Ba2Cu2.925Co0.075OZ,
Yb0.11M1Hf1N1Cl1,23
Y1Ba2Cu3O7-z,83.1
Bi0.198Mo0.132Cu0.67Sr2Y1Cu2Oz,
Ag0.005Zn0.995,0.763
Eu1Ba2Cu3O7,95
Ru0.6Nb0.4Sr2Eu1Cu2O8,
Y1Ba2Cu2.94Ni0.06O6.6,40.1
Bi1.8Pb0.2Sr2Ca1Cu2O8-Z,87
Sm1Fe1As1F0.15O0.85,41.5
Pb0.812Sn0.348Ti2Se5.16,4.02
Pb0.5Sr2Y0.8Ca0.2Cu2.5OZ,
Bi2Sr2Ca1Cu2O8,86.1
Sm1Ba2Cu3O7-Z,90.9
Bi2Sr2Ca1Cu2O8+y,50.33
Pr1.6Ba1.4Cu3O7.23,
Sm1Ba2Cu3O6.467,
Nb1P1S1,12.5
La1Ru4Sb12,2.8
Al5Mo1,
La1.85Sr0.15Cu1O4,36.4
Pb0.5Yb0.5Mo6Se8,8.7
B1Ni2,
Y1Ba2Cu3.88Zn0.12O8,34.5
Nd1.2Ba1.6Sr0.2Cu3O6.885,45
Ga0.205V0.795,9.7
Er0.2Y0.8Pd2Sn1,4.38
Bi2Sr2Ca1Cu2O8+y,90
Lu1Ru1B2,8.9
La1Fe1P1F0.1O0.9,6.2
Sn1V3,3.65
Sr0.95Nd0.05Cu1O2-d,
La1.82Sr0.18Cu0.97Fe0.03O4,29
Mo0.5V0.5,0.11
Y1Ba2Cu3O6.18,
V3Ga0.957Ge0.043,13.1
Y1Ba2Cu3O7-Z,89.4
Fe0.011Mo99.989,0.51
Bi2Sr1.6Y0.1Ca1.3Cu2O8.23,89
Hg0.8Pb0.2Ba2Ca2Cu3O8+z,125
Al25Nb75,17.5
V3Si0.25Ga0.75,8.1
Nb2.49V0.51Au1,4.6
Y1Ba2Cu2.85Zn0.15O6.9,32.5
Y1Ba2Cu3O6.556,59.4
Sm1Fe1As1F0.07O0.93,33
Pb0.18Sn0.74In0.08Te1,2.85
Nd1Ba1.5Sr0.5Cu3O6.91,71
Ca1Nb2Oz,11
Ce1Ir2,
La1.92Sr0.08Cu1O4,29.7
Ca0.8Na0.2Fe2As2,14
Ba1Cu1O2+X,
Ba1Fe1.79Zn0.1Co0.11As2,8
Sr1Fe1.2Ru0.8As2,17.2
Nd1Ba1Sr1Cu3O6.92,64
Ba0.4K0.6Bi1O3,7.2
Y0.8Ca0.2Ba2Cu3O6.64,81
C1,3.95
Yb1,
Lu4.5Er0.5Ir4Si10,2.74
Rh0.04Ru0.05Ti0.91,3.5
Ga1.78Cu4.22Sr3.16Nd3.84O16-z,
Sm1Fe0.725Ir0.275As1O1,
Ba1Ca0.8Cd0.2La1Cu3OZ,65.3
Y1Ba2Cu2.979Zn0.021O7,80.2
Ba0.66K0.34Bi1O3,30
Sm1Fe0.975Co0.025As1O1,
Pb1Nb1S3,2.26
Bi4Sr4Sm2Cu4OZ,
Tl1Ni2Se2,3.7
Sr1,
La1Ir1Si3,0.77
Au1Ga2,1.9
Lu1Ni2B2C1,16.6
Bi2Sr2Ca0.7Y0.3Cu1.88Co0.12OZ,12
La1Fe1As1H0.3O0.7,38
La1Fe1As0.8Sb0.2O1,
C6Ir4O2,2
Ca0.8La0.2Fe1As1H1,40.6
Bi2Sr2Ca1Cu1.8Co0.2O8+d,
Al1Nb2Ni1,4.2
Ru0.92Ce0.58Sr1.7Eu1.8Cu2O10,26
La1.85Sr0.15Cu1O4,
La2Cu1O4.066,38
Be13U0.9645Th0.0355,0.55
La0.5Ca0.2Pr0.3Ba1.5Sr0.5Cu3O6.829,34
La1.85Sr0.15Cu1O4-Y,37
U0.974Th0.026Be13,0.58
Cu2O1,
Ga26.5V73.5,13.6
Pb0.6V0.4Sr2Ca0.65Er0.35Cu2OZ,64.1
Cr0.05Rh0.04Ti0.91,3.75
Lu5Ir4Ge10,2.6
Bi2Sr2Ca0.5Y0.5Cu2O8.33,40
As1,0.2
Sr1Fe2As1.4P0.6,33.9
Fe2As2Ca5Mg0.8Ti3.2O9.8,39
La1.25Ba1.75Cu3O7.07,40
Gd2Rh3Si5,
Na0.28Pb0.72,7.2
La1.94Ba0.06Cu0.99Zn0.01O4,
Y1Ba2Cu2.85Ni0.15O6.97,77.2
Gd1Ni2B2C1,
Pd0.49Sb0.51,1.44
Tl0.85Cr0.15Sr2Ca1Cu1.8Ge0.2O7-z,89.8
Bi3Fe1,1
Na0.3Mo1O3,
Ti1Ir1Si1,
Y0.6Ca0.4Ba1.6La0.4Cu3O6.96,78
La0.6Pr0.6Ba1Ca1Cu3O7,28
Sm1.82Ce0.18Cu1O4-y,18.8
Er1Ba2Cu3O7-d,92.5
Pt1,
La1.78Sr0.22Cu0.97Zn0.03O4,3.3
La1.8Ba0.2Cu1O4,17.9
S1.1Zr1,4.5
Sm1Ba2Cu3O6.9,87
Ca1Fe1As1D1,
Hg1Ba2Cu1O4.13,60
Mo6Pb0.92S7.5,15.2
Lu1Ni0.9Cu0.1B1C1,3.3
Ba0.65Na0.35Fe2As2,33.1
B1Cr1,
Bi2Sr2Ca1Cu2O8.256,67.2
Lu1Pd2Sn1,3.02
Nd1.75Ce0.15Ca0.1Cu1Oz,
Nb3Ga0.8Zn0.2,16.2
Na2Cs1C60,8.5
Ir0.55Re0.15,0.61
Gd0.3Pr0.7Ba2Cu3O7-Z,
Bi2Sr2Ca1Cu2O8+z,92
La1.45Nd0.4Sr0.15Cu1O4,13.6
Ba0.75K0.25Fe2As2,28.3
Ca1Fe0.9Co0.1As1F1,23
Gd1Ba2Cu2.94Zn0.06O7-y,65.9
Sr1Fe1.85Co0.15As2,
M1Ta1S2,4.4
Gd0.7Ca0.3Ba2Cu3Oz,79
Y0.65Pr0.35Ba2Cu3O6.95,33
B2Nb1,
Pb0.5Cd0.5Sr1.8Sm1.6Ce0.6Cu2Oz,35
Au1Be1,2.64
Pt0.3Ta0.7,1
Dy1.83Ca0.17Cu1O4,
Bi1.6Pb0.4Sr2Ca2Cu2.7Mn0.3OZ,97.6
Bi2Sr2Ca1Cu2I1O8.242,53
Ba1Fe1.86Cr0.14As2,
La1.5Ba1.5Cu3O6.55,
La0.75Pr0.25Pb3,0.8
Lu1Rh1.2Sn4,4
Gd1.65La0.2Ce0.15Cu1O4,
Sr0.95Nd0.05Cu1O2-d,
N0.78Nb1,10.5
Bi2Sr1.6La0.4Cu1Oz,4.8
Ce1Cu2.53Si2,0.62
Nd1Ba2Cu3O7,93.5
Ga1Sr2Y0.7Ca0.3Cu2O7,35
Bi2Sr2Ca0.8Lu0.2Cu2O8.27,92.5
Au1In2,0.22
Nb3Sn0.35Sb0.65,10.5
M0.5Ta1S2,3.55
Dy1Sr2Cu2.8P0.2Oz+0.8,
Sm1Ba2Cu2.7Fe0.3O7-z,23
Li1Hf1N1Cl0.525Br0.475,22.7
Np1Pd5Al2,5
Bi2Sr1.3La0.7Cu1O6+Z,20
La1.84Sr0.16Cu1OZ,38
Y1Ba2Cu3O6.85,92
Sb1,
Mg1Zn1,0.92
Hf1Os2,2.69
Bi2Sr2Ca0.59Y0.41Cu2Oz,56.1
Zn2Zr1,0.29
Pr0.83La1Ce0.17Cu1O4,19.8
Dy1Rh4B4,
Nb5Si2.4B0.6,7.8
La1.85Ba0.15Cu1O4,30
Yb1Ni2B2C1,
Nb50Zr40Hf10,10.1
Nb0.18Re0.82,9.7
Li1Fe1As1,16.3
Pd5Th3,
Zr1,3.5
Y1Ba2Cu3O7-Z,86
Mo0.25Sr2Ce1Y1Cu2.75O9+z,56
Nd0.65Pr0.35Ba2Cu3O6.87,
Cu4.5V0.5Sr2Ca1Oz,107
La2Cu1O4.05,32
Pr0.8Sr0.2Fe0.7Co0.3As1O1,4.48
Lu4.95Sc0.05Ir4Si10,4.5
Y1Ba2Cu0.88Co0.12O7-d,77.1
Mg0.99Al0.01B2,38
Bi2Sr2Y1Cu2O8+Z,
La2.5Y0.5Ca1Ba3Cu5.95Fe1.05O16.64,
Li2B1Pd3,7.61
Ba0.64K0.36Fe2As2,25.6
Y5Os4Ge10,8.68
Nd0.95La0.9Ce0.15Cu1O4,22
Bi2Sr2Ca0.7Na0.3Cu2O8+Z,72.5
Pr0.9Sr2.1Cu2.7Mo0.3O7-z,17
La1.8Nd0.2Cu1O4.025,15.9
Al3Mg2,0.84
C1Mo3Pt2,1.1
Sm0.33Ba0.67Cu1O7-X,86.4
La1Ba1.75Ca0.25Cu3OX,71.7
Pd1Te1.08,1.88
Y2I1.5Br0.5C2,11.1
W1F0.44O2.56,0.41
Hg4Na1,3.05
Bi2Sr2Ca0.67Y0.33Cu1.96Zn0.04O8+d,51.7
Li2Pd3B1,7.46
La1Ba2Cu2Co1O6.71,
Ru1Sr2Gd0.65Nd0.35Cu2O8,
Zn0.025In2O3,2.68
V2Zr1,7.7
Sm1.1Ba1.9Cu3O7.05,78.5
Ca1Fe0.91Co0.09As1H1,22.7
Sm1Ba2Cu3O7,93.1
La98Lu1.4Tb0.6,3.127
Pr1Ba2Cu4O8,
Y1Ba2Cu4Li0.25O8,58
Sr0.95Nd0.05Cu1O2-d,
La2Cu0.97Sn0.03O4+Z,
Cr0.0265V0.9735,3.89
Bi3S3O3,5.1
Y1Ba2Cu3OZ,80
Pd0.5Sb0.5,1.48
Nd1Ba1.5Sr0.5Cu3O7-Z,56.4
Ho1Ba2Cu3O6.96,91.8
Ca0.4Ba1.25La1.35Cu3O6.99,
Pb2Sr2Y0.64Ca0.36Cu3O8,65
Er1Sr2Cu2.85Re0.15OY,47
Bi2Sr2Ca0.62Y0.38Cu1.94Zn0.06O8+z,41.8
La1Ru2.97Fe0.03Si2,6.22
Fe0.04Nb0.1Ti0.86,7.4
In0.82Mg0.18,3.67
La1.85Sr0.15Cu1O4.01,36
Ho1Ni2B2C1,7.77
Hg1.5Pb0.5Ba2Y0.29Ca0.71Cu2O8-z,60.4
Sr2Nd0.3Ca0.7Cu2F1O5,73.1
Tl2Ba2Cu1O6+Z,79
Tl1Sr1.65Th0.35Ca1Cu2O7,55.3
Ba0.47K0.53Bi0.99Pr0.01O3,6.4
U1Co1Ge1,0.6
La1Os4Sb12,0.74
Ca4Al2Fe2As2O6,28.2
Y1Ba2Cu2.94Fe0.06O7+Z,86
B1Ta0.5W1.5,1.94
Pr1Pt4Ge12,7.91
Nb1,9.09
Bi2Sr1.5Pb0.5Cu1O6+Z,
Pr0.4Ba0.6Cu1O3-X,
Tl0.52Pb0.5Sr0.8Ba0.2Ca2Cu3Oz,115
Pr1.85Sr0.15Cu1O4,
Bi2.05Sr2Ca1Cu1.99Zn0.01O8+y,
Y0.3Pr0.7Ba1Sr1Cu3O6.9,
Mo0.15Pa0.85,3.08
Hg1Ba2Ca2Cu3O8+d,
Bi1.55Pb0.45Sr2Eu0.2Ca0.8Cu2O8+Z,91
La1.9Sr0.1Cu0.95Fe0.05O4,
Ti0.588V0.392Fe0.02,6.79
La1Ru3Si2,7.5
Nb2.25V0.75Au1,3
Cu1Th2,3.49
Bi2Sr2Ca0.54Y0.46Cu2OZ,
Cu0.5Tl0.5Ba2Ca1.9Pr0.1Cu3O10-z,110.5
La1.875Ba0.125Cu1O4+Z,6
La1.69Nd0.2Ba0.11Cu1O4,8.2
Pr1Fe0.925Co0.075As1O1,15.7
Na1Fe0.99Co0.01As1,17.8
Y1Sr1.25Ba0.75Cu2.75B0.25Oz,
La1.8Sr0.2Cu0.99Ni0.01O4,
Pr1Th3.4Ru0.6B4,2.3
Ca10Pt3.53Fe9.47As18,15.8
Gd1Ba2Cu3O7.08,93.8
Se2Ta1,0.14
Y0.85Ca0.15Sr1Ba1Cu2.5B0.5O7,43.6
La1.85Sr0.15Cu1O4,36
Cu0.07Ir1Te2,2.71
La1.1Ba1.6Sr0.3Cu3Oz,63.1
Hg1Ba2Ca2Cu3Oz,110.3
Ca1.998Na0.002Cu1Cl2O2,
Si0.005V0.995,4.75
La1.85Sr0.15Cu0.925Zn0.025O4,15
Tl2Ba2Cu1O6+Z,
Bi1.8Pb0.2Sr1.65La0.35Cu1Oz,30.9
Ce0.4Nd0.6Bi1S2F0.3O0.7,
Gd1Ba2Cu2.76Fe0.24O7-Z,40.6
La1.4Ba1.5Ca0.1Cu3O6.688,
Zr2Co0.95Cu0.05,6.52
Cr1Ga4,
Sr1Fe2As1.3P0.7,29.6
Pr1.85Ce0.15Cu1OZ,19
Bi2Sr1Ca2Cu2O8.229,76.4
Pr2Ba4Cu7O15-z,27
K1Os2O6,9.65
Ba0.625K0.375Bi1O3,30
Ca0.7Nd0.3Ba1La1Cu3O7.04,73.8
Y1Ba2Cu2.88Zn0.12O7,50.4
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.21,
Pb1,7.175
La3Rh4Sn13,3.1
Gd1.15Ba1.85Cu3O6.99,48
Ba0.6K0.4Bi1O3,28
Fe1Te0.5Se0.5,13
Bi2Sr2Ca1Cu2Oz,61
Bi1S3,
Y1Ba2Cu2.7Zn0.3S0.3Oz,35
Ca1Tl3,2.04
Pb0.5Sr2Ca0.5Y0.5Cu2.5O7-Z,65
La2.5Y0.5Ca1Ba3Cu6.86Fe0.14O16.578,77
Y1Ba2Cu3O6.9,
Sb0.01V0.99,3.76
Y1.5Dy3.5Os4Ge10,
Bi2Sr1.5Ca1.5Cu2O8.19,83
Nb2.7Ta0.3Sn1,18
Sr6Ca8Cu24O41,
Dy2Ba4Cu7O15-X,50
Rh3Th7,2.15
La1.85Sr0.15Cu1O4-Y,36
Ba0.51K0.49Bi1O3,17.2
H0.886Pd1,3.478
Y0.7Ca0.3Ba2Cu2.7Co0.3OZ,83
Mg0.7Al0.3B2,18
Tl2Mo6Se6,5
La0.94Nd0.06Pt1Si1,2.56
In0.83Tl0.17,
La1.95Sr0.05Cu1O4,15
La1.79Sr0.21Cu0.96Mn0.04O4,37
Sr0.9978Ca0.0022Ti1O3-d,0.132
Y1Ba2Cu3O7-Z,90.1
Y0.76Ca0.34Ba2Cu2.55Co0.45O6.95,51
As1Y1,
Nb0.63Si0.37,
Y1Ba2Cu3OX,90
Bi2.15Sr1.85Cu1O6+z,
Bi2Sr1.6La0.4Ca1Cu2OY,75.18
Dy1Ba2Cu3OX,91.8
Y0.6Tb0.4Ni2B2C1,2
La0.7Y0.3Fe1As1F0.15O0.85,36.2
Pd2Se1,2.2
Rb1Os2O6,6.4
Fe0.99Cu0.01Se0.88,5.64
Mo0.91Ti0.09,2.95
La1.91Ce0.09Cu1O4,18.2
Bi4S2.91Se0.09O4,3.7
La1Fe1As1O1,
Nd1.35Ba1.65Cu3O7.02,35.9
Eu1.3Ba1.7Cu3O7.15,39.5
Bi2Sr2Ca0.55Y0.45Cu1.96Zn0.04O8+d,19
Y1Ba2Cu3.96Fe0.04O8,73
